INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION
20086781,09/17/2019 10:54:00 AM,,MAX,N,B,M,26,DE,N,N,110-125.25,Y
140367,09/17/2019 01:07:34 PM,,MIN,N,B,M,50,DE,N,N,140.25,N
20195445,09/17/2019 05:31:01 PM,,MED,N,B,M,53,DE,N,N,125.25,Y
20193737,09/18/2019 01:11:44 PM,,MED,Y,B,M,39,DE,N,Y,265.03,Y
20088196,09/19/2019 08:15:51 PM,,MIN,Y,W,M,35,DE,N,N,110-125.25,N
20089083,09/19/2019 10:27:47 PM,,MAX,Y,O,M,26,DE,N,Y,125.25,Y
38369,09/19/2019 11:24:25 PM,,MED,N,B,M,35,DE,N,Y,130.35,Y
20051071,09/20/2019 12:33:39 AM,,MAX,Y,B,M,29,DE,N,Y,120.10,Y
61934,09/21/2019 01:04:35 AM,,MAX,Y,B,M,31,DE,N,N,140.20,Y
20120282,09/21/2019 11:52:00 AM,,MAX,Y,B,M,29,DE,N,N,125.25,Y
20207157,09/21/2019 04:45:23 PM,,MIN,N,O,M,36,DE,N,N,110-125.25,Y
20196809,09/22/2019 01:26:44 AM,,MAX,N,B,M,22,DE,N,Y,160.15,Y
20101744,09/22/2019 03:26:40 PM,,MAX,Y,B,M,28,DEP,N,Y,160.15,Y
20207191,09/23/2019 06:54:00 PM,,MED,Y,O,M,42,DE,N,N,125.25,N
20081962,09/24/2019 11:25:49 AM,,MAX,Y,B,M,27,DE,N,Y,125.25,Y
20132702,09/24/2019 03:32:06 PM,,MAX,Y,O,M,23,DE,N,Y,110-125.25,Y
20182871,09/25/2019 12:20:00 PM,,MAX,Y,B,M,25,DE,N,Y,125.25,Y
20207225,09/25/2019 09:06:27 PM,,MAX,Y,O,M,19,DE,N,Y,125.25,Y
20201730,09/26/2019 12:16:25 AM,,MED,Y,B,M,42,DE,N,N,125.25,N
148447,09/26/2019 07:31:00 PM,,MAX,Y,B,M,31,DE,N,Y,125.25,Y
4082,09/26/2019 07:33:00 PM,,MAX,Y,B,M,33,DE,N,Y,125.25,Y
28000,09/27/2019 01:39:00 AM,,MAX,N,B,M,34,DE,N,Y,265.03,Y
20154705,09/27/2019 01:55:37 AM,,MAX,N,O,M,25,DE,N,N,110-160.15,Y
94825,09/27/2019 01:25:00 PM,,MAX,Y,B,M,32,DE,N,N,110-125.25,Y
20207260,09/27/2019 05:21:44 PM,,MAX,Y,B,M,38,DEP,N,N,140.30,Y
44966,09/27/2019 06:08:33 PM,,MED,N,B,M,40,DE,N,Y,0,Y
20027420,09/29/2019 12:04:00 AM,,MAX,Y,B,M,39,DE,N,Y,160.15,Y
20180185,09/29/2019 02:21:06 AM,,MAX,Y,B,M,25,DE,N,N,110-125.25,Y
20020698,09/29/2019 12:07:37 PM,,MED,Y,B,M,53,DE,N,Y,220.16,Y
20006665,09/29/2019 11:33:37 PM,,MAX,Y,B,M,29,SSR,N,Y,,Y
20192369,09/30/2019 01:40:07 AM,,MAX,Y,O,M,22,DE,N,Y,110-125.25,Y
20178204,10/01/2019 01:00:24 AM,,MED,Y,B,M,53,DE,N,N,110-125.25,Y
20165230,10/01/2019 09:29:29 PM,,MAX,N,B,M,25,DE,N,N,125.25,Y
13793,10/01/2019 09:40:00 PM,,MED,N,B,M,39,DE,N,N,125.25,N
20167642,10/02/2019 01:00:45 PM,,MAX,N,B,M,23,DE,N,Y,160.15,Y
20120576,10/03/2019 01:12:40 PM,,MAX,N,O,M,27,DE,N,N,130.95,Y
112354,10/03/2019 04:58:32 PM,,MAX,Y,B,M,48,DE,N,N,125.20,Y
20207376,10/04/2019 12:41:38 AM,,MED,Y,B,M,26,DE,N,N,125.25,Y
20207384,10/04/2019 01:32:02 PM,,MED,N,A,M,55,DE,N,N,130.95,N
20117966,10/04/2019 09:36:49 PM,,MED,Y,B,M,25,DE,N,N,265.03,Y
44601,10/05/2019 01:31:22 AM,,MAX,N,W,M,44,DE,N,N,130.35,N
10002047,10/05/2019 01:38:53 AM,,MED,Y,B,M,34,DE,N,Y,125.27,Y
20207409,10/06/2019 10:40:45 PM,,MED,N,B,M,31,DE,N,N,125.25,N
20207443,10/08/2019 03:53:16 PM,,MED,Y,O,M,45,DE,N,N,125.25,N
17426,10/08/2019 07:41:22 PM,,MAX,Y,B,M,36,DE,N,Y,125.25,Y
57233,10/08/2019 11:37:58 PM,,MAX,N,B,M,39,DE,N,Y,160.15,Y
20203829,10/09/2019 07:34:12 PM,,MAX,Y,B,M,23,DE,N,Y,110-125.25,Y
20207484,10/09/2019 08:44:21 PM,,MIN,Y,O,M,61,DE,N,N,140.25,Y
20207486,10/09/2019 09:13:15 PM,,MED,Y,O,M,49,DE,N,N,125.25,N
20207532,10/11/2019 02:44:09 PM,,MED,N,O,M,55,DE,N,N,110-125.27,Y
20207533,10/11/2019 02:55:40 PM,,MIN,N,O,M,57,DE,N,N,220.21,N
20207546,10/11/2019 11:38:32 PM,,MIN,N,O,M,53,DE,N,N,110-125.25,Y
20207545,10/11/2019 11:39:00 PM,,MAX,Y,B,M,19,DE,N,N,130.50,Y
89736,10/12/2019 02:34:00 PM,,MED,N,B,M,48,DEP,N,N,125.25,Y
20176291,10/13/2019 01:06:15 AM,,MED,Y,B,M,56,DEP,N,N,155.25,Y
20056582,10/14/2019 12:58:41 AM,,MED,Y,B,M,35,DE,N,N,110-130.35,Y
20207626,10/17/2019 04:36:18 PM,,MED,Y,B,M,66,DE,N,N,125.25,Y
20116419,10/17/2019 04:58:16 PM,,MAX,Y,O,M,25,DE,N,Y,130.75,Y
10013672,10/17/2019 11:34:37 PM,,MAX,Y,B,M,32,DE,N,N,110-125.25,Y
